fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga
Är Mount Everest högre eller lägre än K2?;Mount Everest;K2;8849;8611;meter;Hur många meter skiljer det?
Är Nilen längre eller kortare än Amazonfloden?;Nilen;Amazonfloden;6650;6400;kilometer;Hur många kilometer skiljer det?
Har Vietnam större eller mindre yta än Japan?;Vietnam;Japan;331212;377973;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Är Aconcagua högre eller lägre än Denali?;Aconcagua;Denali;6961;6190;meter;Hur många meter skiljer det?
Har Norge större eller mindre yta än Finland?;Norge;Finland;385207;338455;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Har Sverige större eller mindre yta än Spanien?;Sverige;Spanien;450295;505990;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Är Mont Blanc högre eller lägre än Aconcagua?;Mont Blanc;Aconcagua;4808;6961;meter;Hur många meter skiljer det?
Är Kilimanjaro högre eller lägre än Mount Everest?;Kilimanjaro;Mount Everest;5895;8849;meter;Hur många meter skiljer det?
Är Donau längre eller kortare än Mississippi?;Donau;Mississippi;2850;3766;kilometer;Hur många kilometer skiljer det?
Är Rhen längre eller kortare än Donau?;Rhen;Donau;1233;2850;kilometer;Hur många kilometer skiljer det?
Är Empire State Building högre eller lägre än CN-tornet?;Empire State Building;CN-tornet;381;553;meter;Hur många meter skiljer det?
Är Eiffeltornet högre eller lägre än Shanghai Tower?;Eiffeltornet;Shanghai Tower;330;632;meter;Hur många meter skiljer det?
Är CN-tornet högre eller lägre än Burj Khalifa?;CN-tornet;Burj Khalifa;553;828;meter;Hur många meter skiljer det?
Har Huronsjön större eller mindre yta än Övre sjön?;Huronsjön;Övre sjön;59600;82103;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Har Michigansjön större eller mindre yta än Eriesjön?;Michigansjön;Eriesjön;58000;25667;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Är Puerto Rico-graven djupare eller grundare än Marianergraven?;Puerto Rico-graven;Marianergraven;8376;10935;meter;Hur många meter skiljer det?
Är Victoriafallen högre eller lägre än Niagarafallen?;Victoriafallen;Niagarafallen;108;51;meter;Hur många meter skiljer det?
Är Yangtzefloden längre eller kortare än Donau?;Yangtzefloden;Donau;6300;2850;kilometer;Hur många kilometer skiljer det?
Har Sahara större eller mindre yta än Gobiöknen?;Sahara;Gobiöknen;9200000;1300000;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Är avståndet Oslo–Stockholm längre eller kortare än Oslo–Helsingfors?;Oslo–Stockholm;Oslo–Helsingfors;416;789;kilometer;Hur många kilometer skiljer det?
Har Vänern större eller mindre yta än Vättern?;Vänern;Vättern;5650;1886;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Har Madagaskar större eller mindre yta än Grönland?;Madagaskar;Grönland;587041;2166086;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Har Baikalsjön större eller mindre yta än Övre sjön?;Baikalsjön;Övre sjön;31500;82103;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Har Sicilien större eller mindre yta än Island?;Sicilien;Island;25662;101826;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Har Eriesjön större eller mindre yta än Övre sjön?;Eriesjön;Övre sjön;25667;82103;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Har Grönland större eller mindre yta än Borneo?;Grönland;Borneo;2166086;748168;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Har Arabiska öknen större eller mindre yta än Gobiöknen?;Arabiska öknen;Gobiöknen;2330000;1300000;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Har Gotland större eller mindre yta än Sicilien?;Gotland;Sicilien;2994;25662;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Har Island större eller mindre yta än Grönland?;Island;Grönland;101826;2166086;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Är Angel Falls högre eller lägre än Niagarafallen?;Angel Falls;Niagarafallen;979;51;meter;Hur många meter skiljer det?
Är Bajkalsjön djupare eller grundare än Tanganyikasjön?;Bajkalsjön;Tanganyikasjön;1642;1470;meter;Hur många meter skiljer det?
Är Tanganyikasjön djupare eller grundare än Kaspiska havet?;Tanganyikasjön;Kaspiska havet;1470;1025;meter;Hur många meter skiljer det?
Har Stilla havet större eller mindre yta än Atlanten?;Stilla havet;Atlanten;165250000;85133000;kvadratkilometer;Hur många kvadratkilometer skiljer det?
Har Indiska oceanen större eller mindre yta än Norra ishavet?;Indiska oceanen;Norra ishavet;68536000;15558000;kvadratkilometer;Hur många kvadratkilometer skiljer det?
