beskrivning;santVärde;tema;enhet
Höjden på Mount Everest över havet;8849;Geografi;meter
Jordens omkrets vid ekvatorn;40075;Geografi;km
Medelavståndet från jorden till månen;384400;Rymden;km
Ett maratonlopp;42,195;Sport;km
Antal ben i en vuxen människokropp;206;Kroppen;stycken
Antal tangenter på ett standardpiano;88;Musik;stycken
Höjden på Eiffeltornet med antenner;330;Landmärken;meter
Jupiters diameter;142984;Rymden;km
Solens diameter;1392000;Rymden;km
Merkurius diameter;4879;Rymden;km
Mars diameter;6779;Rymden;km
Jordens diameter;12742;Rymden;km
Neptunus diameter;49528;Rymden;km
Saturnus diameter;120536;Rymden;km
Uranus diameter;51118;Rymden;km
Månens diameter;3475;Rymden;km
Avståndet från jorden till solen;150000000;Rymden;km
Toppfarten för en gepard;110;Djur;km/h
Toppfarten för en struts;70;Djur;km/h
Toppfarten för en jaguar;80;Djur;km/h
Toppfarten för en sengångare;0,24;Djur;km/h
Längden på en Argentinosaurus;35;Dinosaurier;meter
Längden på en Diplodocus;26;Dinosaurier;meter
Längden på en Brachiosaurus;22;Dinosaurier;meter
Längden på en T. rex;12;Dinosaurier;meter
Längden på en megalodon;18;Dinosaurier;meter
Yttemperaturen på Venus;464;Rymden;grader Celsius
Toppfarten för en rymdraket;28000;Teknik;km/h
Toppfarten för en jumbojet;900;Fordon;km/h
Huvudomkretsen på en nyfödd bebis;35;Kroppen;centimeter
Djupet till Challengerdjupet i Marianergraven;10935;Geografi;meter
Höjden på Burj Khalifa;828;Byggnader;meter
Höjden på Empire State Building med antenn;443,2;Byggnader;meter
Total längd på Kinesiska muren;21196;Historia;km
Höjden på Kristusstatyn i Rio de Janeiro utan sockel;30;Landmärken;meter
Höjden på klocktornet Big Ben i London;96;Landmärken;meter
Sveriges folkmängd vid slutet av 2024;10587700;Geografi;personer
Ljusets hastighet i vakuum;299792,458;Fysik;km/s
Antal medlemsländer i FN;193;Politik;stycken
Antal delstater i USA;50;Geografi;stycken
Antal planeter i solsystemet;8;Rymden;stycken
Antal tänder hos en vuxen människa;32;Kroppen;stycken
Normal kroppstemperatur för en människa;37;Kroppen;grader Celsius
Höjden på en basketkorg över golvet;3,05;Sport;meter
Längden på en olympisk simbassäng;50;Sport;meter
Vikten av en blåval;150000;Djur;kg
Vikten av en afrikansk elefant;6000;Djur;kg
Vikten av en isbjörn;450;Djur;kg
Vikten av en tiger;220;Djur;kg
Vikten av en giraff;800;Djur;kg
Vikten av en noshörning;2300;Djur;kg
Vikten av en flodhäst;1500;Djur;kg
Vikten av ett lejon;190;Djur;kg
Vikten av en kaskelot;40000;Djur;kg
Vikten av en valross;1000;Djur;kg
Vikten av en brandbil;12000;Fordon;kg
Vikten av en ambulans;3500;Fordon;kg
Vikten av en personbil;1500;Fordon;kg
Vikten av en traktor;5000;Fordon;kg
Vikten av en lastbil;15000;Fordon;kg
Vikten av en motorcykel;200;Fordon;kg
Vikten av ett tåglok;90000;Fordon;kg
Höjden på Frihetsgudinnan;93;Landmärken;meter
Höjden på Cheopspyramiden;139;Landmärken;meter
Höjden på Lutande tornet i Pisa;56;Landmärken;meter
Höjden på Kaknästornet;170;Landmärken;meter
Höjden på Tokyo Skytree;634;Byggnader;meter
Höjden på CN-tornet i Toronto;553;Byggnader;meter
Höjden på Colosseum;48;Landmärken;meter
Höjden på Golden Gate-brons pyloner;227;Landmärken;meter
Höjden på Triumfbågen i Paris;50;Landmärken;meter
Höjden på Kebnekaise;2096;Geografi;meter
Toppfarten för en sportbil;300;Fordon;km/h
Toppfarten för ett propellerplan;550;Fordon;km/h
Regnmängd på en timme vid skyfall;50;Väder;millimeter
Temperaturen i en het bastu;90;Vardag;grader Celsius
Kroppstemperaturen hos en hund;38,5;Djur;grader Celsius
